COUNTY,CNTYNAME,DISTRICT,DISTNAME,CHARTER_STATUS,CRISIS_IND,CRISISX_L,STUDENTS
100,HARDIN COUNTY,100905,HARDIN-JEFFERSON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",343
100,HARDIN COUNTY,100907,LUMBERTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",59
100,HARDIN COUNTY,100907,LUMBERTON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",164
100,HARDIN COUNTY,100908,WEST HARDIN COUNTY CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
100,HARDIN COUNTY,100908,WEST HARDIN COUNTY CISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101802,SER-NINOS CHARTER SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",29
101,HARRIS COUNTY,101803,ARISTOI CLASSICAL ACADEMY,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",38
101,HARRIS COUNTY,101804,GEORGE I SANCHEZ CHARTER,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",22
101,HARRIS COUNTY,101806,RAUL YZAGUIRRE SCHOOL FOR SUCCESS,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101807,UNIVERSITY OF HOUSTON CHARTER SCHO,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING IN,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101810,ACADEMY OF ACCELERATED LEARNING IN,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101813,KIPP INC CHARTER,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",17
101,HARRIS COUNTY,101813,KIPP INC CHARTER,OPEN ENROLLMENT CHARTER,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101813,KIPP INC CHARTER,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",208
101,HARRIS COUNTY,101814,THE VARNETT PUBLIC SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",27
101,HARRIS COUNTY,101814,THE VARNETT PUBLIC SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101828,HOUSTON GATEWAY ACADEMY INC,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101828,HOUSTON GATEWAY ACADEMY INC,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101838,SOUTHWEST SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",141
101,HARRIS COUNTY,101840,TWO DIMENSIONS PREPARATORY ACADEMY,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",20
101,HARRIS COUNTY,101845,YES PREP PUBLIC SCHOOLS INC,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101845,YES PREP PUBLIC SCHOOLS INC,OPEN ENROLLMENT CHARTER,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101845,YES PREP PUBLIC SCHOOLS INC,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",335
101,HARRIS COUNTY,101846,HARMONY SCIENCE ACADEMY,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101853,PROMISE COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101853,PROMISE COMMUNITY SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",34
101,HARRIS COUNTY,101855,MEYERPARK ELEMENTARY,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101861,THE RHODES SCHOOL,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
101,HARRIS COUNTY,101861,THE RHODES SCHOOL,OPEN ENROLLMENT CHARTER,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101861,THE RHODES SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",141
101,HARRIS COUNTY,101870,BETA ACADEMY,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",59
101,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",317
101,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",94
101,HARRIS COUNTY,101902,ALDINE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1940
101,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",191
101,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",24
101,HARRIS COUNTY,101903,ALIEF ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",52
101,HARRIS COUNTY,101905,CHANNELVIEW ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",99
101,HARRIS COUNTY,101905,CHANNELVIEW ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101905,CHANNELVIEW ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
101,HARRIS COUNTY,101906,CROSBY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",32
101,HARRIS COUNTY,101906,CROSBY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",108
101,HARRIS COUNTY,101907,CYPRESS-FAIRBANKS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",503
101,HARRIS COUNTY,101907,CYPRESS-FAIRBANKS ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",163
101,HARRIS COUNTY,101907,CYPRESS-FAIRBANKS ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",423
101,HARRIS COUNTY,101908,DEER PARK ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",27
101,HARRIS COUNTY,101908,DEER PARK ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101908,DEER PARK ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",66
101,HARRIS COUNTY,101910,GALENA PARK ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",162
101,HARRIS COUNTY,101910,GALENA PARK ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",35
101,HARRIS COUNTY,101910,GALENA PARK ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",303
101,HARRIS COUNTY,101911,GOOSE CREEK CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",118
101,HARRIS COUNTY,101911,GOOSE CREEK CISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",82
101,HARRIS COUNTY,101911,GOOSE CREEK CISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",655
101,HARRIS COUNTY,101912,HOUSTON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",297
101,HARRIS COUNTY,101912,HOUSTON ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",574
101,HARRIS COUNTY,101912,HOUSTON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1815
101,HARRIS COUNTY,101913,HUMBLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",189
101,HARRIS COUNTY,101913,HUMBLE ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",20
101,HARRIS COUNTY,101913,HUMBLE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1630
101,HARRIS COUNTY,101914,KATY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",212
101,HARRIS COUNTY,101914,KATY ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",259
101,HARRIS COUNTY,101914,KATY ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",2389
101,HARRIS COUNTY,101915,KLEIN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",153
101,HARRIS COUNTY,101915,KLEIN ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101915,KLEIN ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",103
101,HARRIS COUNTY,101916,LA PORTE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",37
101,HARRIS COUNTY,101916,LA PORTE ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101916,LA PORTE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",71
101,HARRIS COUNTY,101917,PASADENA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",177
101,HARRIS COUNTY,101917,PASADENA ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",241
101,HARRIS COUNTY,101917,PASADENA ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1440
101,HARRIS COUNTY,101919,SPRING ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",299
101,HARRIS COUNTY,101919,SPRING ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",74
101,HARRIS COUNTY,101919,SPRING ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",313
101,HARRIS COUNTY,101920,SPRING BRANCH ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",78
101,HARRIS COUNTY,101920,SPRING BRANCH ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101920,SPRING BRANCH ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",1211
101,HARRIS COUNTY,101921,TOMBALL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",26
101,HARRIS COUNTY,101921,TOMBALL ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",18
101,HARRIS COUNTY,101924,SHELDON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",62
101,HARRIS COUNTY,101924,SHELDON ISD,TRADITIONAL ISD/CSD,5B,"STUD ENRLD IN HARVEY IMPACTED LEA, ENRLD IN ANOTHER CAMPUS OF THE LEA 17-18",-999
101,HARRIS COUNTY,101924,SHELDON ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",660
101,HARRIS COUNTY,101925,HUFFMAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",38
101,HARRIS COUNTY,101925,HUFFMAN ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",149
102,HARRISON COUNTY,102902,MARSHALL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
102,HARRISON COUNTY,102904,HALLSVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
102,HARRISON COUNTY,102905,HARLETON ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
105,HAYS COUNTY,105902,SAN MARCOS CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
105,HAYS COUNTY,105904,DRIPPING SPRINGS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
105,HAYS COUNTY,105905,WIMBERLEY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
105,HAYS COUNTY,105906,HAYS CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",13
107,HENDERSON COUNTY,107902,BROWNSBORO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
107,HENDERSON COUNTY,107904,CROSS ROADS ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
107,HENDERSON COUNTY,107905,EUSTACE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
108,HIDALGO COUNTY,108807,IDEA PUBLIC SCHOOLS,OPEN ENROLLMENT CHARTER,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
108,HIDALGO COUNTY,108902,DONNA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",19
108,HIDALGO COUNTY,108903,EDCOUCH-ELSA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
108,HIDALGO COUNTY,108904,EDINBURG CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",19
108,HIDALGO COUNTY,108905,HIDALGO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
108,HIDALGO COUNTY,108906,MCALLEN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
108,HIDALGO COUNTY,108908,MISSION CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",13
108,HIDALGO COUNTY,108909,PHARR-SAN JUAN-ALAMO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",13
108,HIDALGO COUNTY,108911,SHARYLAND ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
108,HIDALGO COUNTY,108912,LA JOYA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",24
108,HIDALGO COUNTY,108913,WESLACO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",17
109,HILL COUNTY,109904,HILLSBORO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
111,HOOD COUNTY,111901,GRANBURY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
113,HOUSTON COUNTY,113901,CROCKETT ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
113,HOUSTON COUNTY,113903,LOVELADY ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
113,HOUSTON COUNTY,113905,LATEXO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
116,HUNT COUNTY,116902,CELESTE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
116,HUNT COUNTY,116903,COMMERCE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
116,HUNT COUNTY,116905,GREENVILLE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
116,HUNT COUNTY,116908,QUINLAN ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
116,HUNT COUNTY,116916,BOLES ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
117,HUTCHINSON COUNTY,117901,BORGER ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
120,JACKSON COUNTY,120901,EDNA ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",17
120,JACKSON COUNTY,120902,GANADO ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
120,JACKSON COUNTY,120905,INDUSTRIAL ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",-999
120,JACKSON COUNTY,120905,INDUSTRIAL ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
121,JASPER COUNTY,121904,JASPER ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",18
121,JASPER COUNTY,121904,JASPER ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",-999
121,JASPER COUNTY,121905,KIRBYVILLE CISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",17
121,JASPER COUNTY,121905,KIRBYVILLE CISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",10
121,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,5A,"STUD ENRLD IN HARVEY IMPACTED LEA, ENROLLED IN A DIFFERENT LEA IN 2017-2018",10
121,JASPER COUNTY,121906,EVADALE ISD,TRADITIONAL ISD/CSD,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",27
123,JEFFERSON COUNTY,123803,TEKOA ACADEMY OF ACCELERATED STUDI,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",46
123,JEFFERSON COUNTY,123805,EHRHART SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",10
123,JEFFERSON COUNTY,123807,BOB HOPE SCHOOL,OPEN ENROLLMENT CHARTER,5C,"STUD HOMELESS BECAUSE OF HARVEY, REMAINED ENRLD IN THEIR HOME CAMPUS, 17-18",125
